Марка;Цена в $;Цена в ГРН;Город
Volkswagen Touareg 2021;74 750 $;2 090 600 грн;Чернівці 
Volkswagen Touareg 2021;81 545 $;2 280 642 грн;Чернівці 
Volkswagen Touareg 2021;79 950 $;2 236 034 грн;Чернівці 
Volkswagen Touareg 2021;74 437 $;2 081 847 грн;Дніпро (Дніпропетровськ) 
Volkswagen Touareg 2020;74 460 $;2 082 490 грн;Київ 
Volkswagen Touareg 2021;77 540 $;2 168 631 грн;Миколаїв 
Volkswagen Touareg 2021;79 950 $;2 236 034 грн;Чернівці 
Volkswagen Touareg 2021;79 950 $;2 236 034 грн;Чернівці 
Volkswagen Multivan 2020;77 400 $;2 164 715 грн;Житомир 
Volkswagen T-Roc 2020;27 380 $;765 761 грн;Миколаїв 
Volkswagen Touareg 2021;62 700 $;1 753 587 грн;Житомир 
Volkswagen Touareg 2021;62 000 $;1 734 010 грн;Житомир 
Volkswagen T-Roc 2021;30 000 $;839 037 грн;Житомир 
Volkswagen T-Roc 2020;27 590 $;771 634 грн;Полтава 
Volkswagen Touareg 2021;78 950 $;2 208 066 грн;Чернівці 
Volkswagen Touareg 2020;69 900 $;1 954 956 грн;Тернопіль 
Volkswagen Touareg 2021;72 160 $;2 018 164 грн;Полтава 
Volkswagen Touareg 2021;78 950 $;2 208 066 грн;Чернівці 
Volkswagen Touareg 2020;59 700 $;1 669 684 грн;Хмельницький 
Volkswagen Touareg 2021;74 806 $;2 122 970 грн;Вінниця 
Volkswagen Touareg 2020;74 885 $;2 094 376 грн;Чернівці 
Volkswagen Touareg 2021;62 900 $;1 759 181 грн;Чернівці 
Volkswagen Touareg 2021;63 006 $;1 762 145 грн;Чернівці 
Volkswagen T-Cross 2021;24 000 $;671 230 грн;Житомир 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Київ 
Volkswagen Tiguan 2021;42 900 $;1 199 823 грн;Тернопіль 
Volkswagen Multivan 2020;64 990 $;1 817 634 грн;Київ 
Volkswagen Crafter груз. 2020;37 040 $;1 035 931 грн;Полтава 
Volkswagen T-Roc 2021;29 990 $;838 757 грн;Житомир 
Volkswagen T-Roc 2021;31 839 $;890 470 грн;Дніпро (Дніпропетровськ) 
Volkswagen Touareg 2021;74 800 $;2 091 999 грн;Чернівці 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Чернівці 
Volkswagen T-Roc 2020;27 590 $;771 634 грн;Хмельницький 
Volkswagen Tiguan 2021;40 850 $;1 142 489 грн;Житомир 
Volkswagen Tiguan 2021;40 850 $;1 142 489 грн;Житомир 
Volkswagen Tiguan 2021;41 740 $;1 167 380 грн;Полтава 
Volkswagen Multivan 2021;62 990 $;1 761 698 грн;Чернівці 
Volkswagen T-Cross 2021;25 100 $;701 994 грн;Полтава 
Volkswagen Tiguan 2022;46 552 $;1 301 962 грн;Дніпро (Дніпропетровськ) 
Volkswagen T-Roc 2021;30 440 $;851 343 грн;Хмельницький 
Volkswagen Touareg 2021;62 700 $;1 753 587 грн;Житомир 
Volkswagen Touareg 2020;62 730 $;1 780 277 грн;Вінниця 
Volkswagen Touareg 2020;71 210 $;1 991 594 грн;Миколаїв 
Volkswagen Touareg 2021;62 900 $;1 759 181 грн;Чернівці 
Volkswagen Touareg 2020;62 400 $;1 745 197 грн;Івано-Франківськ 
Volkswagen Touareg 2021;74 800 $;2 091 999 грн;Чернівці 
Volkswagen Touareg 2020;74 160 $;2 074 099 грн;Чернівці 
Volkswagen Touareg 2021;79 150 $;2 213 659 грн;Чернівці 
Volkswagen Touareg 2020;60 400 $;1 689 261 грн;Хмельницький 
Volkswagen Touareg 2021;74 205 $;2 075 358 грн;Чернівці 
Volkswagen Touareg 2020;70 990 $;1 985 441 грн;Миколаїв 
Volkswagen Touareg 2020;71 200 $;1 991 314 грн;Полтава 
Volkswagen Touareg 2021;75 205 $;2 103 326 грн;Миколаїв 
Volkswagen Touareg 2020;59 880 $;1 674 718 грн;Хмельницький 
Volkswagen Tiguan 2021;45 530 $;1 273 378 грн;Чернівці 
Volkswagen Tiguan 2021;45 530 $;1 273 378 грн;Чернівці 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Чернівці 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Чернівці 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Чернівці 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Чернівці 
Volkswagen Tiguan 2021;46 100 $;1 289 320 грн;Чернівці 
Volkswagen T-Roc 2021;31 000 $;867 005 грн;Житомир 
Volkswagen Tiguan 2021;40 450 $;1 131 302 грн;Житомир 
Volkswagen T-Roc 2020;27 598 $;771 858 грн;Івано-Франківськ 
Volkswagen T-Roc 2020;28 600 $;799 882 грн;Чернівці 
Volkswagen Tiguan 2021;45 356 $;1 268 512 грн;Хмельницький 
Volkswagen T-Roc 2021;28 980 $;810 510 грн;Чернівці 
Volkswagen T-Roc 2020;28 000 $;783 101 грн;Чернівці 
Volkswagen Tiguan 2021;44 900 $;1 255 759 грн;Миколаїв 
Volkswagen Tiguan 2021;41 885 $;1 171 435 грн;Миколаїв 
Volkswagen Caddy груз. 2020;24 800 $;693 604 грн;Житомир 
Volkswagen T-Roc 2021;30 820 $;861 971 грн;Полтава 
Volkswagen T-Roc 2020;27 200 $;760 727 грн;Полтава 
Volkswagen Crafter груз. 2021;37 900 $;1 059 983 грн;Житомир 
Volkswagen Caddy груз. 2020;25 250 $;706 189 грн;Полтава 
Volkswagen Crafter груз. 2020;41 500 $;1 160 668 грн;Полтава 
Volkswagen T-Roc 2021;27 930 $;792 653 грн;Вінниця 
Volkswagen T-Roc 2021;31 040 $;868 124 грн;Одеса 
Volkswagen T-Cross 2021;24 360 $;681 298 грн;Житомир 
Volkswagen T-Cross 2020;24 700 $;690 807 грн;Житомир 
Volkswagen T-Cross 2020;25 017 $;699 673 грн;Одеса 
Volkswagen T-Roc 2020;28 700 $;802 679 грн;Хмельницький 
Volkswagen T-Cross 2021;25 017 $;699 673 грн;Дніпро (Дніпропетровськ) 
Volkswagen T-Roc 2020;28 004 $;783 213 грн;Дніпро (Дніпропетровськ) 
Volkswagen Touareg 2021;75 200 $;2 103 186 грн;Чернівці 
Volkswagen Touareg 2021;61 870 $;1 730 374 грн;Чернівці 
Volkswagen Touareg 2021;73 700 $;2 061 234 грн;Тернопіль 
Volkswagen Golf 2020;22 200 $;620 883 грн;Одеса 
Volkswagen T-Roc 2020;26 375 $;748 500 грн;Вінниця 
Volkswagen T-Cross 2021;24 990 $;698 918 грн;Хмельницький 
Volkswagen T-Roc 2020;28 343 $;792 694 грн;Київ 
Volkswagen Touareg 2020;61 305 $;1 739 836 грн;Вінниця 
Volkswagen Caddy пасс. 2020;28 970 $;810 230 грн;Чернівці 
Volkswagen Tiguan 2021;43 820 $;1 225 553 грн;Одеса 
Volkswagen Tiguan 2021;39 900 $;1 115 919 грн;Тернопіль 
Volkswagen Multivan 2020;78 398 $;2 192 627 грн;Хмельницький 
Volkswagen Multivan 2020;62 990 $;1 761 698 грн;Тернопіль 
Volkswagen Touareg 2021;79 150 $;2 213 659 грн;Чернівці 
Volkswagen Touareg 2020;71 211 $;2 020 968 грн;Вінниця 
Volkswagen Touareg 2020;61 100 $;1 708 839 грн;Тернопіль 
Volkswagen Touareg 2021;61 870 $;1 730 374 грн;Чернівці 
Volkswagen Tiguan 2021;43 890 $;1 227 511 грн;Тернопіль 
Volkswagen T-Roc 2020;27 900 $;780 304 грн;Тернопіль 
Volkswagen T-Cross 2020;25 500 $;713 181 грн;Тернопіль 
Volkswagen T-Cross 2021;25 552 $;714 636 грн;Чернівці 
Volkswagen T-Roc 2020;27 200 $;760 727 грн;Тернопіль 
Volkswagen T-Roc 2020;28 255 $;801 877 грн;Вінниця 
Volkswagen T-Roc 2021;27 222 $;772 560 грн;Вінниця 
Volkswagen T-Cross 2020;25 720 $;729 934 грн;Вінниця 
Volkswagen T-Roc 2020;27 200 $;760 727 грн;Хмельницький 
Volkswagen T-Roc 2020;27 219 $;761 258 грн;Хмельницький 
Volkswagen T-Roc 2020;27 994 $;782 933 грн;Кропивницький (Кіровоград) 
Volkswagen T-Cross 2021;24 800 $;693 604 грн;Хмельницький 
Volkswagen T-Roc 2020;28 004 $;783 213 грн;Київ 
Volkswagen Touareg 2020;70 935 $;1 983 903 грн;Київ 
Volkswagen Touareg 2021;73 800 $;2 064 031 грн;Одеса 
Volkswagen Touareg 2021;73 800 $;2 064 031 грн;Одеса 
Volkswagen T-Roc 2021;31 034 $;867 956 грн;Одеса 
Volkswagen Tiguan 2021;50 500 $;1 412 379 грн;Миколаїв 
Volkswagen Touareg 2021;75 990 $;2 125 281 грн;Миколаїв 
Volkswagen T-Cross 2020;24 855 $;695 142 грн;Миколаїв 
Volkswagen Touareg 2020;76 600 $;2 142 341 грн;Одеса 
Volkswagen Touareg 2021;75 474 $;2 110 849 грн;Одеса 
Volkswagen Tiguan 2021;41 786 $;1 168 667 грн;Чернівці 
Volkswagen Touareg 2021;77 070 $;2 155 486 грн;Миколаїв 
Volkswagen Tiguan 2021;41 678 $;1 165 646 грн;Херсон 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;41 236 $;1 153 284 грн;Чернівці 
Volkswagen Tiguan 2021;46 100 $;1 289 320 грн;Чернівці 
Volkswagen Touareg 2020;59 700 $;1 669 684 грн;Кропивницький (Кіровоград) 
Volkswagen Touareg 2020;71 323 $;1 994 754 грн;Київ 
Volkswagen Multivan 2021;62 990 $;1 761 698 грн;Чернівці 
Volkswagen T-Roc 2021;31 410 $;878 472 грн;Миколаїв 
Volkswagen Touareg 2020;74 460 $;2 082 490 грн;Київ 
Volkswagen T-Cross 2021;24 853 $;695 086 грн;Миколаїв 
Volkswagen T-Roc 2020;27 600 $;771 914 грн;Одеса 
Volkswagen Multivan 2020;76 990 $;2 153 249 грн;Херсон 
Volkswagen Tiguan 2021;45 952 $;1 285 181 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;44 818 $;1 253 465 грн;Івано-Франківськ 
Volkswagen Touareg 2021;63 400 $;1 773 165 грн;Одеса 
Volkswagen T6 (Transporter) пасс. 2021;42 990 $;1 202 340 грн;Чернівці 
Volkswagen T-Cross 2020;24 524 $;685 885 грн;Київ 
Volkswagen Touareg 2020;71 211 $;1 991 622 грн;Дніпро (Дніпропетровськ) 
Volkswagen Touareg 2021;81 651 $;2 283 607 грн;Івано-Франківськ 
Volkswagen Touareg 2021;61 306 $;1 714 600 грн;Київ 
Volkswagen Touareg 2021;73 113 $;2 044 817 грн;Чернівці 
Volkswagen Touareg 2021;61 591 $;1 722 571 грн;Івано-Франківськ 
Volkswagen Touareg 2021;82 330 $;2 302 597 грн;Івано-Франківськ 
Volkswagen Touareg 2021;63 539 $;1 777 052 грн;Чернівці 
Volkswagen Touareg 2020;62 400 $;1 745 197 грн;Івано-Франківськ 
Volkswagen Touareg 2020;71 211 $;1 991 622 грн;Київ 
Volkswagen Touareg 2020;60 700 $;1 697 651 грн;Одеса 
Volkswagen Touareg 2021;81 651 $;2 283 607 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Чернівці 
Volkswagen Tiguan 2021;42 000 $;1 174 652 грн;Чернівці 
Volkswagen Tiguan 2021;50 500 $;1 412 379 грн;Миколаїв 
Volkswagen Tiguan 2021;46 550 $;1 301 906 грн;Одеса 
Volkswagen Tiguan 2021;44 818 $;1 253 465 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;43 118 $;1 205 920 грн;Київ 
Volkswagen Tiguan 2021;42 227 $;1 181 000 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;42 227 $;1 181 000 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;47 945 $;1 340 921 грн;Миколаїв 
Volkswagen Tiguan 2021;42 160 $;1 179 127 грн;Одеса 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;41 700 $;1 166 261 грн;Одеса 
Volkswagen T-Roc 2020;28 243 $;789 897 грн;Херсон 
Volkswagen T-Roc 2020;29 105 $;814 000 грн;Кропивницький (Кіровоград) 
Volkswagen Touareg 2021;82 330 $;2 302 597 грн;Івано-Франківськ 
Volkswagen T-Roc 2020;28 218 $;789 194 грн;Одеса 
Volkswagen T-Roc 2021;27 930 $;781 143 грн;Івано-Франківськ 
Volkswagen Touareg 2021;73 800 $;2 064 031 грн;Одеса 
Volkswagen Touareg 2020;73 298 $;2 050 000 грн;Тернопіль 
Volkswagen Tiguan 2021;42 638 $; 45 734 $;Одеса 
Volkswagen Touareg 2021;75 500 $;2 111 576 грн;Миколаїв 
Volkswagen Touareg 2020;73 164 $;2 046 256 грн;Одеса 
Volkswagen Touareg 2021;61 590 $;1 722 543 грн;Кропивницький (Кіровоград) 
Volkswagen Golf 2020;21 876 $;611 821 грн;Одеса 
Volkswagen Touareg 2020;74 792 $;2 091 785 грн;Одеса 
Volkswagen Touareg 2020;71 200 $;1 991 314 грн;Миколаїв 
Volkswagen Tiguan 2021;45 000 $;1 258 555 грн;Тернопіль 
Volkswagen Touareg 2021;77 575 $;2 169 610 грн;Миколаїв 
Volkswagen Touareg 2021;74 545 $;2 084 855 грн;Одеса 
Volkswagen Touareg 2020;64 800 $;1 812 320 грн;Одеса 
Volkswagen Tiguan 2021;41 962 $;1 173 589 грн;Київ 
Volkswagen Touareg 2021;81 000 $;2 265 400 грн;Тернопіль 
Volkswagen Touareg 2021;62 445 $;1 772 189 грн;Вінниця 
Volkswagen Golf 2020;27 604 $;772 024 грн;Одеса 
Volkswagen Golf 2020;24 697 $;690 714 грн;Одеса 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Чернівці 
Volkswagen Touareg 2021;74 587 $;2 086 028 грн;Одеса 
Volkswagen Tiguan 2021;44 528 $;1 245 355 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;42 227 $;1 181 000 грн;Івано-Франківськ 
Volkswagen Touareg 2021;77 500 $;2 167 512 грн;Миколаїв 
Volkswagen T-Roc 2020;28 243 $;789 897 грн;Херсон 
Volkswagen Multivan 2020;76 679 $;2 144 556 грн;Одеса 
Volkswagen Multivan 2020;78 399 $;2 192 655 грн;Хмельницький 
Volkswagen Multivan 2021;76 990 $;2 153 249 грн;Миколаїв 
Volkswagen Multivan 2020;62 990 $;1 761 698 грн;Херсон 
Volkswagen T-Cross 2020;25 700 $;718 775 грн;Кропивницький (Кіровоград) 
Volkswagen T-Cross 2020;25 017 $;699 673 грн;Івано-Франківськ 
Volkswagen T-Cross 2020;25 017 $;699 673 грн;Херсон 
Volkswagen Touareg 2021;73 164 $;2 046 256 грн;Одеса 
Volkswagen Touareg 2021;72 503 $;2 027 767 грн;Одеса 
Volkswagen Touareg 2021;73 396 $;2 052 720 грн;Одеса 
Volkswagen Touareg 2021;73 164 $;2 046 256 грн;Одеса 
Volkswagen Touareg 2020;73 396 $;2 052 720 грн;Одеса 
Volkswagen Touareg 2020;70 000 $;1 957 753 грн;Тернопіль 
Volkswagen Touareg 2021;79 147 $;2 246 192 грн;Вінниця 
Volkswagen Touareg 2020;59 700 $;1 669 684 грн;Хмельницький 
Volkswagen Touareg 2021;73 500 $;2 055 641 грн;Тернопіль 
Volkswagen Touareg 2020;59 700 $;1 669 684 грн;Хмельницький 
Volkswagen Touareg 2020;60 700 $;1 697 651 грн;Кропивницький (Кіровоград) 
Volkswagen Touareg 2021;73 700 $;2 061 234 грн;Тернопіль 
Volkswagen Tiguan 2021;45 734 $;1 279 090 грн;Одеса 
Volkswagen Tiguan 2021;42 638 $;1 192 495 грн;Одеса 
Volkswagen T6 (Transporter) груз 2021;37 750 $;1 055 788 грн;Миколаїв 
Volkswagen Golf 2020;21 876 $;611 821 грн;Одеса 
Volkswagen Golf 2020;25 938 $;725 432 грн;Одеса 
Volkswagen T-Roc 2021;31 013 $;867 368 грн;Івано-Франківськ 
Volkswagen T-Cross 2020;24 831 $;694 467 грн;Одеса 
Volkswagen T-Cross 2020;24 831 $;694 467 грн;Одеса 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Херсон 
Volkswagen Tiguan 2021;44 528 $;1 245 355 грн;Івано-Франківськ 
Volkswagen Tiguan 2021;41 200 $;1 152 277 грн;Кропивницький (Кіровоград) 
Volkswagen Tiguan 2021;46 955 $;1 313 233 грн;Миколаїв 
Volkswagen Tiguan 2021;41 677 $;1 182 793 грн;Вінниця 
Volkswagen Tiguan 2021;47 630 $;1 332 111 грн;Миколаїв 
Volkswagen Tiguan 2021;46 953 $;1 313 177 грн;Херсон 
Volkswagen T-Roc 2021;29 000 $;811 069 грн;Тернопіль 
Volkswagen Passat 2021;40 768 $;1 140 195 грн;Чернівці 
Volkswagen T-Cross 2021;25 000 $;699 197 грн;Чернівці 
Volkswagen T-Roc 2021;30 800 $;861 411 грн;Тернопіль 
Volkswagen T-Cross 2020;24 800 $;693 604 грн;Миколаїв 
Volkswagen T-Cross 2021;23 500 $;657 246 грн;Хмельницький 
Volkswagen T-Roc 2020;28 852 $;806 930 грн;Одеса 
Volkswagen T-Cross 2020;24 245 $;678 082 грн;Івано-Франківськ 
Volkswagen T-Cross 2020;25 017 $;699 673 грн;Івано-Франківськ 
Volkswagen Passat 2021;44 000 $;1 230 588 грн;Херсон 
Volkswagen Touareg 2020;59 990 $;1 677 794 грн;Харків 
Volkswagen Touareg 2021;72 848 $;2 037 406 грн;Мукачеве 
Volkswagen Tiguan 2021;45 356 $;1 268 512 грн;Харків 
Volkswagen Crafter груз. 2021;37 932 $;1 060 878 грн;Мукачеве 
Volkswagen Touareg 2020;62 140 $;1 737 925 грн;Харків 
Volkswagen T-Roc 2020;29 089 $;813 561 грн;Харків 
Volkswagen Tiguan 2021;42 277 $;1 182 399 грн;Харків 
Volkswagen Touareg 2020;61 263 $;1 713 397 грн;Харків 
Volkswagen Touareg 2021;63 000 $;1 761 978 грн;Харків 
Volkswagen ID.3 2021;47 955 $;1 341 195 грн;Київ 
Volkswagen T-Cross 2021;25 000 $;699 197 грн;Харків 
Volkswagen Tiguan 2021;44 916 $;1 256 206 грн;Харків 
Volkswagen Touareg 2020;62 141 $;1 737 953 грн;Харків 
Volkswagen T-Roc 2020;30 826 $;862 138 грн;Харків 
Volkswagen Caddy груз. 2020;25 258 $;706 413 грн;Харків 
Volkswagen Touareg 2020;71 211 $;1 991 622 грн;Харків 
Volkswagen Touareg 2021;63 000 $;1 761 978 грн;Харків 
Volkswagen T-Roc 2020;30 826 $;862 138 грн;Харків 
Volkswagen Touareg 2021;74 205 $;2 075 358 грн;Харків 
Volkswagen T-Roc 2019;27 950 $;781 703 грн;Харків 
Volkswagen T-Roc 2020;27 202 $;760 783 грн;Мукачеве 
Volkswagen T6 (Transporter) груз 2021;32 320 $;903 923 грн;Харків 
Volkswagen Golf 2020;21 264 $;594 709 грн;Мукачеве 
Volkswagen Tiguan 2021;43 820 $;1 225 553 грн;Мукачеве 
Volkswagen T6 (Transporter) пасс. 2021;42 990 $;1 202 340 грн;Харків 
Volkswagen Tiguan 2021;45 944 $;1 284 957 грн;Харків 
Volkswagen T-Cross 2021;25 014 $;699 589 грн;Мукачеве 
Volkswagen Tiguan 2021;42 227 $;1 181 000 грн;Харків 
Volkswagen Crafter груз. 2021;43 430 $;1 214 646 грн;Харків 
Volkswagen Touareg 2021;62 141 $;1 737 953 грн;Харків 
Volkswagen Tiguan 2021;44 953 $;1 257 241 грн;Харків 
Volkswagen Tiguan 2021;44 777 $;1 252 319 грн;Мукачеве 
Volkswagen Touareg 2021;57 328 $;1 603 332 грн;Мукачеве 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Мукачеве 
Volkswagen Caddy груз. 2020;25 258 $;706 413 грн;Харків 
Volkswagen Multivan 2021;62 990 $;1 761 698 грн;Мукачеве 
Volkswagen Tiguan 2021;41 677 $;1 165 618 грн;Мукачеве 
Volkswagen Multivan 2021;62 990 $;1 761 698 грн;Харків 
Volkswagen T-Cross 2021;24 730 $;691 659 грн;Мукачеве 
Volkswagen T-Cross 2021;25 000 $;699 197 грн;Харків 
Volkswagen T-Roc 2021;31 013 $;867 368 грн;Мукачеве 
Volkswagen T-Roc 2021;29 538 $;826 116 грн;Харків 
